event,timestamp,station,value_mm,review_level,review_score,reasons,network_median_mm,modified_z,iqr_soft_upper_mm,iqr_strong_upper_mm,temporal_median_mm,neighbor_median_mm,neighbor_count,neighbor_ratio,spatial_match_available,systematic_sensor_candidate
CDEHab,2025-07-19 12:00,QCDRRMO,35.620,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,2.000,45.353,2.750,3.500,12.080,2.500,3,12.040,True,True
CDEHab,2025-07-19 13:00,QCDRRMO,12.810,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,1.000,inf,1.000,1.000,22.450,1.000,3,8.873,True,True
CDEHab,2025-07-19 14:00,QCDRRMO,22.030,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,2.000,27.020,4.000,5.500,20.460,2.500,3,7.510,True,True
CDEHab,2025-07-19 15:00,QCDRRMO,22.870,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,3.250,6.617,11.000,16.625,15.430,4.500,3,4.674,True,True
CDEHab,2025-07-19 19:00,QCDRRMO,24.590,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,1.000,31.823,3.938,6.000,8.825,1.000,3,16.727,True,True
CDEHab,2025-07-19 20:00,Ismael Mathay Senior High School,88.000,severe_review,5,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;extreme_at_least_75_mm;temporally_isolated;sensor_has_systematic_review_flag,36.500,3.970,67.688,89.625,4.500,48.500,3,1.806,True,True
CDEHab,2025-07-19 21:00,Ismael Mathay Senior High School,24.000,review,3,above_1.5_iqr;modified_z_above_3;sensor_has_systematic_review_flag,12.500,3.103,20.938,27.500,10.000,11.500,3,2.042,True,True
CDEHab,2025-07-19 22:00,QCDRRMO,20.080,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,4.500,6.005,10.000,14.500,19.810,7.000,3,2.744,True,True
CDEHab,2025-07-20 00:00,QCDRRMO,23.450,review,3,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,5.750,3.673,21.938,33.000,18.785,19.000,3,1.228,True,True
CDEHab,2025-07-20 01:00,Ismael Mathay Senior High School,12.000,review,2,modified_z_above_3;sensor_has_systematic_review_flag,5.750,3.373,12.000,16.125,6.000,7.000,3,1.667,True,True
CDEHab,2025-07-20 01:00,QCDRRMO,22.280,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,5.750,8.920,12.000,16.125,16.605,6.500,3,3.254,True,True
CDEHab,2025-07-20 02:00,Brgy. Valencia,25.500,review,3,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated,3.500,7.420,21.562,33.000,2.750,10.500,3,2.364,True,False
CDEHab,2025-07-20 02:00,Jose P Laurel Senior High School,20.500,review,2,modified_z_above_3;modified_z_above_3.5;temporally_isolated,3.500,5.733,21.562,33.000,3.250,20.500,3,1.000,True,False
CDEHab,2025-07-20 02:00,QCDRRMO,17.490,review,2,modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,3.500,4.718,21.562,33.000,19.000,20.500,3,0.857,True,True
CDEHab,2025-07-20 02:00,Quirino High School,20.500,review,2,modified_z_above_3;modified_z_above_3.5;temporally_isolated,3.500,5.733,21.562,33.000,4.500,17.490,3,1.167,True,False
CDEHab,2025-07-20 03:00,QCDRRMO,15.720,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,1.000,19.857,3.250,5.125,10.725,1.000,3,10.813,True,True
CDEHab,2025-07-20 13:00,Jose Maria Panganiban Senior High School,7.500,review,3,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5,0.000,inf,1.250,2.000,0.000,4.500,3,1.600,True,False
CDEHab,2025-07-20 13:00,QCDRRMO,7.500,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,0.000,inf,1.250,2.000,0.615,0.000,3,16.000,True,True
CDEHab,2025-07-20 13:00,San Agustin Brgy Hall,11.500,review,3,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5,0.000,inf,1.250,2.000,0.500,4.500,3,2.400,True,False
CDEHab,2025-07-20 19:00,QCDRRMO,12.800,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,2.000,7.285,6.562,10.125,6.885,5.500,3,2.217,True,True
CDEHab,2025-07-20 19:00,San Agustin Brgy Hall,13.500,severe_review,5,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement,2.000,7.757,6.562,10.125,0.250,3.000,3,4.000,True,False
CDEHab,2025-07-20 20:00,Ismael Mathay Senior High School,18.000,review,2,temporally_isolated;sensor_has_systematic_review_flag,10.250,0.909,34.188,51.625,0.500,8.500,3,2.056,True,True
CDEHab,2025-07-20 21:00,Brgy. Fairview,10.500,review,3,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5,0.000,inf,2.188,3.500,0.750,,0,,False,False
CDEHab,2025-07-20 21:00,North Fairview Elementary School,13.500,severe_review,5,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement,0.000,inf,2.188,3.500,1.250,2.000,3,5.600,True,False
CDEHab,2025-07-20 21:00,QCDRRMO,18.300,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,0.000,inf,2.188,3.500,9.720,0.000,3,37.600,True,True
CDEHab,2025-07-20 21:00,Sauyo Elementary School,8.000,review,3,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5,0.000,inf,2.188,3.500,0.250,1.000,3,5.667,True,False
CDEHab,2025-07-20 22:00,QCDRRMO,7.840,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,0.000,inf,0.000,0.000,6.235,0.000,3,16.680,True,True
CDEHab,2025-07-21 01:00,QCDRRMO,14.730,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,0.000,inf,0.000,0.000,0.735,0.000,3,30.460,True,True
CDEHab,2025-07-21 03:00,QCDRRMO,12.480,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,0.250,32.997,3.438,5.500,0.750,0.000,3,25.960,True,True
CDEHab,2025-07-21 08:00,Ismael Mathay Senior High School,19.000,review,2,above_1.5_iqr;sensor_has_systematic_review_flag,8.250,2.637,18.250,26.125,5.500,9.500,3,1.950,True,True
CDEHab,2025-07-21 08:00,QCDRRMO,40.640,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,8.250,7.944,18.250,26.125,18.605,5.000,3,7.480,True,True
CDEHab,2025-07-21 09:00,Bagong Silangan Evacuation Center,20.500,review,2,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5,7.250,4.469,16.250,22.625,16.250,,0,,False,False
CDEHab,2025-07-21 09:00,Brgy. Valencia,19.500,review,3,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated,7.250,4.131,16.250,22.625,3.250,11.000,3,1.739,True,False
CDEHab,2025-07-21 09:00,QCDRRMO,35.820,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,7.250,9.635,16.250,22.625,36.565,7.500,3,4.540,True,True
CDEHab,2025-07-21 11:00,QCDRRMO,47.100,review,3,nearest_neighbor_disagreement;sensor_has_systematic_review_flag,11.750,2.119,102.250,163.000,34.360,0.500,3,47.600,True,True
CDEHab,2025-07-21 11:00,San Agustin Brgy Hall,65.000,review,2,modified_z_above_3;temporally_isolated,11.750,3.193,102.250,163.000,4.000,48.000,3,1.351,True,False
CDEHab,2025-07-21 12:00,Bagong Silangan Evacuation Center,77.500,review,2,extreme_at_least_75_mm;temporally_isolated,25.700,1.704,118.188,185.125,15.500,,0,,False,False
CDEHab,2025-07-21 12:00,Brgy. Baesa,85.000,review,2,extreme_at_least_75_mm;temporally_isolated,25.700,1.951,118.188,185.125,14.750,46.500,3,1.819,True,False
CDEHab,2025-07-21 12:00,Dona Juana Elementary School,80.500,review,2,extreme_at_least_75_mm;temporally_isolated,25.700,1.803,118.188,185.125,13.250,49.000,3,1.636,True,False
CDEHab,2025-07-21 12:00,Ismael Mathay Senior High School,161.000,severe_review,5,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;extreme_at_least_75_mm;temporally_isolated;sensor_has_systematic_review_flag,25.700,4.452,118.188,185.125,28.000,78.500,3,2.044,True,True
CDEHab,2025-07-21 12:00,QCDRRMO,32.900,review,3,nearest_neighbor_disagreement;sensor_has_systematic_review_flag,31.250,0.045,136.000,213.625,35.800,7.000,3,4.453,True,True
CDEHab,2025-07-21 12:00,Sauyo Elementary School,78.500,review,2,extreme_at_least_75_mm;temporally_isolated,25.700,1.737,118.188,185.125,13.000,44.000,3,1.775,True,False
CDEHab,2025-07-21 13:00,QCDRRMO,39.110,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,1.000,25.705,6.438,10.000,24.725,0.500,3,39.610,True,True
CDEHab,2025-07-21 14:00,QCDRRMO,12.350,review,3,nearest_neighbor_disagreement;sensor_has_systematic_review_flag,4.000,1.877,15.688,24.500,24.725,0.500,3,12.850,True,True
CDEHab,2025-07-21 15:00,QCDRRMO,16.550,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,1.500,20.302,4.938,7.000,24.100,3.000,3,4.871,True,True
CDEHab,2025-07-21 17:00,Ismael Mathay Senior High School,62.000,review,3,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,19.250,4.806,44.500,62.125,21.000,29.500,3,2.083,True,True
CDEHab,2025-07-21 18:00,Ismael Mathay Senior High School,106.000,review,3,modified_z_above_3;modified_z_above_3.5;extreme_at_least_75_mm;sensor_has_systematic_review_flag,30.500,4.968,109.375,161.125,43.500,53.500,3,1.972,True,True
CDEHab,2025-07-21 18:00,Jose Maria Panganiban Senior High School,80.000,review,3,modified_z_above_3;extreme_at_least_75_mm;temporally_isolated,30.500,3.257,109.375,161.125,22.250,65.000,3,1.229,True,False
CDEHab,2025-07-21 18:00,QCDRRMO,62.190,review,3,nearest_neighbor_disagreement;sensor_has_systematic_review_flag,30.500,2.085,109.375,161.125,29.645,18.000,3,3.389,True,True
CDEHab,2025-07-21 19:00,Ismael Mathay Senior High School,25.000,review,3,above_1.5_iqr;modified_z_above_3;sensor_has_systematic_review_flag,10.750,3.204,22.125,30.000,63.000,11.500,3,2.125,True,True
CDEHab,2025-07-21 19:00,QCDRRMO,43.200,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,10.750,7.296,22.125,30.000,41.015,4.500,3,8.740,True,True
CDEHab,2025-07-21 19:00,San Agustin Brgy Hall,27.000,review,2,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5,10.750,3.654,22.125,30.000,51.750,16.500,3,1.618,True,False
CDEHab,2025-07-21 20:00,Jose Maria Panganiban Senior High School,82.000,severe_review,4,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;extreme_at_least_75_mm;temporally_isolated,23.935,4.044,73.500,108.750,22.250,62.500,3,1.310,True,False
CDEHab,2025-07-21 21:00,Bagong Silangan Evacuation Center,46.500,review,3,above_1.5_iqr;modified_z_above_3;temporally_isolated,17.500,3.009,43.938,62.125,9.500,,0,,False,False
CDEHab,2025-07-21 21:00,QCDRRMO,49.110,severe_review,5,above_1.5_iqr;modified_z_above_3;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,17.500,3.280,43.938,62.125,27.905,8.500,3,5.512,True,True
CDEHab,2025-07-21 22:00,Ismael Mathay Senior High School,38.000,review,3,above_1.5_iqr;modified_z_above_3;sensor_has_systematic_review_flag,17.500,3.457,36.438,52.000,33.000,19.000,3,1.974,True,True
MDHab,2026-08-07 06:00,Phil-Am,41.500,severe_review,6,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,8.000,4.519,29.000,44.000,0.500,15.000,5,2.710,True,True
MDHab,2026-08-07 06:00,South Triangle,40.000,severe_review,6,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,8.000,4.317,29.000,44.000,0.750,15.000,5,2.613,True,True
MDHab,2026-08-07 13:00,Tandang Sora,18.500,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,0.000,inf,0.500,0.800,0.000,0.200,5,27.143,True,True
MDHab,2026-08-07 21:00,South Triangle,8.500,review,3,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,2.800,5.059,6.650,10.040,0.250,3.500,5,2.250,True,True
MDHab,2026-08-07 23:00,Holy Spirit,28.000,severe_review,5,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;sensor_has_systematic_review_flag,14.500,5.356,21.250,26.500,2.250,12.000,5,2.280,True,True
MDHab,2026-08-07 23:00,Nagkaisang Nayon,33.500,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,14.500,7.539,21.250,26.500,1.000,12.500,3,2.615,True,True
MDHab,2026-08-07 23:00,Phil-Am,35.500,severe_review,5,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;sensor_has_systematic_review_flag,14.500,8.332,21.250,26.500,2.500,15.000,5,2.323,True,True
MDHab,2026-08-07 23:00,South Triangle,35.500,severe_review,5,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;sensor_has_systematic_review_flag,14.500,8.332,21.250,26.500,3.250,15.000,5,2.323,True,True
MDHab,2026-08-08 05:00,Tandang Sora,24.000,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,0.600,39.458,1.750,2.500,0.000,1.000,5,16.333,True,True
MDHab,2026-08-08 06:00,Tandang Sora,38.500,severe_review,7,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,1.600,62.223,2.900,3.800,6.250,2.000,5,15.600,True,True
MDHab,2026-08-08 08:00,Holy Spirit,13.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,3.500,5.825,7.950,11.400,1.750,3.900,5,3.068,True,True
MDHab,2026-08-08 08:00,Phil-Am,16.000,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,3.500,7.665,7.950,11.400,2.750,5.500,5,2.750,True,True
MDHab,2026-08-08 08:00,Tandang Sora,12.500,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,3.500,5.519,7.950,11.400,9.500,3.900,5,2.955,True,True
MDHab,2026-08-08 10:00,Brgy.Tatalon Multipurpose Hall,24.000,review,2,above_1.5_iqr;temporally_isolated,18.000,2.698,22.750,26.500,3.500,17.600,5,1.354,True,False
MDHab,2026-08-08 10:00,Holy Spirit,34.500,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,18.000,7.419,22.750,26.500,14.000,15.940,5,2.129,True,True
MDHab,2026-08-08 10:00,Nagkaisang Nayon,27.500,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,18.000,4.272,22.750,26.500,12.750,14.000,3,1.931,True,True
MDHab,2026-08-08 10:00,Phil-Am,37.500,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,18.000,8.768,22.750,26.500,16.500,16.500,5,2.235,True,True
MDHab,2026-08-08 10:00,South Triangle,42.000,severe_review,5,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;temporally_isolated;sensor_has_systematic_review_flag,18.000,10.792,22.750,26.500,11.750,19.500,5,2.125,True,True
MDHab,2026-08-08 11:00,Holy Spirit,21.500,review,3,nearest_neighbor_disagreement;sensor_has_systematic_review_flag,13.500,1.799,22.500,30.000,14.500,7.500,5,2.750,True,True
MDHab,2026-08-08 11:00,Nagkaisang Nayon,37.000,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,13.500,5.284,22.500,30.000,16.500,13.890,3,2.606,True,True
MDHab,2026-08-08 11:00,Phil-Am,24.000,review,2,above_1.5_iqr;sensor_has_systematic_review_flag,13.500,2.361,22.500,30.000,17.000,10.000,5,2.333,True,True
MDHab,2026-08-08 11:00,South Triangle,25.500,review,2,above_1.5_iqr;sensor_has_systematic_review_flag,13.500,2.698,22.500,30.000,17.500,13.500,5,1.857,True,True
MDHab,2026-08-08 11:00,Tandang Sora,48.000,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,13.500,7.757,22.500,30.000,16.750,10.000,5,4.619,True,True
MDHab,2026-08-08 12:00,Holy Spirit,15.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,7.000,10.792,9.000,10.500,17.750,7.000,5,2.067,True,True
MDHab,2026-08-08 12:00,Nagkaisang Nayon,18.000,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,7.000,14.839,9.000,10.500,21.750,6.500,3,2.643,True,True
MDHab,2026-08-08 12:00,Phil-Am,17.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,7.000,13.490,9.000,10.500,20.500,7.000,5,2.333,True,True
MDHab,2026-08-08 12:00,South Triangle,16.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,7.000,12.141,9.000,10.500,22.250,7.000,5,2.200,True,True
MDHab,2026-08-08 12:00,Tandang Sora,25.000,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,7.000,24.282,9.000,10.500,19.000,7.000,5,3.400,True,True
MDHab,2026-08-08 13:00,Holy Spirit,14.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,7.000,4.721,9.775,12.040,14.750,6.000,5,2.231,True,True
MDHab,2026-08-08 13:00,Nagkaisang Nayon,15.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,7.000,5.396,9.775,12.040,17.000,6.500,3,2.214,True,True
MDHab,2026-08-08 13:00,Phil-Am,17.000,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,7.000,6.745,9.775,12.040,14.750,6.500,5,2.500,True,True
MDHab,2026-08-08 13:00,South Triangle,19.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,7.000,8.094,9.775,12.040,14.500,7.500,5,2.438,True,True
MDHab,2026-08-08 13:00,Tandang Sora,19.000,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,7.000,8.094,9.775,12.040,22.000,6.000,5,3.000,True,True
MDHab,2026-08-08 14:00,Holy Spirit,13.500,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,5.500,10.792,7.500,9.000,14.250,5.500,5,2.333,True,True
MDHab,2026-08-08 14:00,Nagkaisang Nayon,16.000,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,5.500,14.165,7.500,9.000,16.500,6.000,3,2.538,True,True
MDHab,2026-08-08 14:00,Phil-Am,12.500,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,5.500,9.443,7.500,9.000,14.000,5.500,5,2.167,True,True
MDHab,2026-08-08 14:00,South Triangle,13.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,5.500,10.117,7.500,9.000,13.500,5.000,5,2.455,True,True
MDHab,2026-08-08 14:00,Tandang Sora,19.000,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,5.500,18.212,7.500,9.000,18.250,5.930,5,3.033,True,True
MDHab,2026-08-08 15:00,Holy Spirit,14.500,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,4.500,7.494,6.900,9.000,13.750,4.800,5,2.830,True,True
MDHab,2026-08-08 15:00,Nagkaisang Nayon,12.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,4.500,5.621,6.900,9.000,16.500,4.500,3,2.500,True,True
MDHab,2026-08-08 15:00,Phil-Am,11.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,4.500,4.871,6.900,9.000,14.750,4.500,5,2.300,True,True
MDHab,2026-08-08 15:00,South Triangle,11.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,4.500,4.871,6.900,9.000,16.000,4.000,5,2.556,True,True
MDHab,2026-08-08 15:00,Tandang Sora,15.000,severe_review,6,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;nearest_neighbor_disagreement;sensor_has_systematic_review_flag,4.500,7.869,6.900,9.000,18.250,4.750,5,2.952,True,True
MDHab,2026-08-08 16:00,Holy Spirit,9.500,review,3,above_1.5_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,2.500,4.721,8.250,12.000,15.000,3.720,5,2.370,True,True
MDHab,2026-08-08 16:00,Jose Maria Panganiban Senior High School,7.500,review,2,modified_z_above_3;sensor_has_systematic_review_flag,2.500,3.373,8.250,12.000,6.250,6.800,4,1.096,True,True
MDHab,2026-08-08 16:00,Nagkaisang Nayon,18.000,severe_review,4,above_1.5_iqr;above_3_iqr;modified_z_above_3;modified_z_above_3.5;sensor_has_systematic_review_flag,2.500,10.455,8.250,12.000,16.500,7.100,3,2.434,True,True
