event,station,wet_comparison_hours,same_hour_network_correlation,median_network_ratio,high_ratio_fraction,zero_when_network_wet_fraction,mean_absolute_network_difference_mm,best_lag_hours,best_lag_correlation,lag_correlation_improvement,spatial_neighbor_count,median_neighbor_ratio,systematic_review_candidate,review_reasons
MDHab,Bagumbayan ES,27,0.714,0.917,0.037,0.000,2.548,0,0.714,0.000,5,0.923,False,
MDHab,Balingasa Elementary School,27,0.839,0.924,0.037,0.000,2.519,0,0.839,0.000,5,1.000,False,
MDHab,Balingasa High School,27,0.949,1.071,0.000,0.000,1.321,0,0.949,0.000,5,1.132,False,
MDHab,Batasan Hills,27,0.878,1.072,0.000,0.000,1.948,0,0.878,0.000,5,1.068,False,
MDHab,Brgy Baesa Hall,27,0.779,1.030,0.037,0.000,2.874,0,0.779,0.000,5,1.000,False,
MDHab,Brgy Fairview (REC),27,0.775,0.947,0.074,0.000,3.014,0,0.775,0.000,0,,False,
MDHab,Brgy N.S Amoranto Hall,27,0.854,0.906,0.000,0.000,1.944,0,0.854,0.000,5,0.909,False,
MDHab,Brgy Valencia Hall,27,0.731,1.091,0.037,0.000,2.533,0,0.731,0.000,5,1.082,False,
MDHab,Brgy.Tatalon Multipurpose Hall,27,0.824,0.917,0.000,0.000,2.347,0,0.824,0.000,5,0.833,False,
MDHab,Carlos P. Garcia HS,27,0.895,1.000,0.000,0.000,1.624,0,0.895,0.000,5,1.000,False,
MDHab,Commonwealth High School,27,0.736,0.714,0.037,0.000,3.466,0,0.736,0.000,5,0.724,False,
MDHab,Dona Imelda,27,0.821,1.000,0.000,0.000,2.050,0,0.821,0.000,5,1.000,False,
MDHab,Dona Juana Elementary School,27,0.022,0.071,0.000,0.889,8.191,-2,0.461,0.439,5,0.071,False,
MDHab,Emilio Jacinto Sr HS,27,0.754,1.000,0.037,0.000,3.317,0,0.754,0.000,0,,False,
MDHab,Flora A Ylagan High School,27,0.913,1.024,0.037,0.000,1.284,0,0.913,0.000,5,1.043,False,
MDHab,Holy Spirit,27,0.745,2.100,0.593,0.000,14.196,0,0.745,0.000,5,2.539,True,persistent_high_bias;persistent_neighbor_disagreement
MDHab,Ismael Mathay Senior High School,27,0.912,1.068,0.000,0.000,1.637,0,0.912,0.000,5,1.072,False,
MDHab,Jose Maria Panganiban Senior High School,27,0.631,0.841,0.111,0.000,3.262,-1,0.783,0.152,4,0.900,True,possible_time_shift_-1h
MDHab,Jose P Laurel Senior High School,27,0.788,1.107,0.037,0.000,2.277,0,0.788,0.000,5,1.084,False,
MDHab,Kaligayahan,27,0.688,0.769,0.037,0.037,3.103,0,0.688,0.000,3,1.000,False,
MDHab,Kalusugan Brgy Hall,27,0.884,0.940,0.000,0.000,1.750,0,0.884,0.000,5,1.000,False,
MDHab,Kaunlaran Barangay Hall,27,0.788,0.973,0.000,0.000,2.177,0,0.788,0.000,5,0.943,False,
MDHab,Laging Handa Hall,27,0.906,0.938,0.000,0.000,1.518,0,0.906,0.000,5,0.949,False,
MDHab,Lagro High School,27,0.628,0.867,0.074,0.037,3.288,0,0.628,0.000,3,1.034,False,
MDHab,Libis,27,0.785,1.000,0.037,0.000,2.259,0,0.785,0.000,5,1.000,False,
MDHab,Lupang Pangako Elementary School,27,0.674,1.000,0.111,0.000,3.496,0,0.674,0.000,3,1.022,False,
MDHab,Maharlika Brgy Hall,27,0.879,0.917,0.000,0.000,1.894,0,0.879,0.000,5,1.000,False,
MDHab,Maligaya High School,27,0.671,0.800,0.037,0.037,3.306,0,0.671,0.000,3,0.959,False,
MDHab,Mariana Barangay Hall,27,0.779,1.000,0.037,0.000,2.181,0,0.779,0.000,5,1.034,False,
MDHab,Masambong,27,0.845,1.054,0.037,0.000,2.405,0,0.845,0.000,5,1.000,False,
MDHab,Nagkaisang Nayon,27,0.569,2.188,0.519,0.000,10.507,-1,0.665,0.096,3,2.286,True,persistent_high_bias;persistent_neighbor_disagreement
MDHab,New Era Brgy Hall,27,0.793,1.000,0.037,0.000,3.081,0,0.793,0.000,5,0.909,False,
MDHab,North Fairview Elementary School,27,0.728,0.933,0.074,0.000,2.706,0,0.728,0.000,4,1.132,False,
MDHab,Old Balara Elementary School,27,0.752,1.000,0.037,0.000,3.836,0,0.752,0.000,5,0.995,False,
MDHab,Pansol Kaingin 1 Brgy Satellite Office,27,0.836,1.062,0.037,0.000,2.730,0,0.836,0.000,3,1.018,False,
MDHab,Payatas ES,27,0.774,1.083,0.037,0.000,3.184,0,0.774,0.000,3,1.076,False,
MDHab,Phil-Am,27,0.851,2.300,0.630,0.000,12.906,0,0.851,0.000,5,2.172,True,persistent_high_bias;persistent_neighbor_disagreement
MDHab,Pinyahan Multipurose Hall,27,0.926,1.000,0.000,0.000,1.392,0,0.926,0.000,0,,False,
MDHab,Placido Del Mundo Elementary School,27,0.817,0.912,0.000,0.000,2.574,0,0.817,0.000,5,0.896,False,
MDHab,Project 6 Barangay Hall,27,0.831,0.980,0.037,0.000,2.403,0,0.831,0.000,5,0.943,False,
MDHab,QCU,27,0.803,0.943,0.037,0.000,2.286,0,0.803,0.000,5,0.890,False,
MDHab,Quezon City University San Francisco Campus,27,0.845,1.000,0.074,0.000,2.491,0,0.845,0.000,5,1.000,False,
MDHab,Quirino High School,27,0.893,1.000,0.000,0.000,1.495,0,0.893,0.000,5,1.000,False,
MDHab,Ramon Magsaysay Brgy Hall,27,0.810,0.917,0.037,0.000,2.800,0,0.810,0.000,5,0.938,False,
MDHab,Ramon Magsaysay Elementary School,27,0.876,0.874,0.000,0.000,2.009,0,0.876,0.000,5,0.945,False,
MDHab,Ramon Magsaysay HS,27,0.877,1.000,0.000,0.000,1.703,0,0.877,0.000,5,1.000,False,
MDHab,Sacred Heart BH,27,0.912,1.000,0.000,0.000,1.499,0,0.912,0.000,0,,False,
MDHab,San Agustin Brgy Hall,27,0.633,0.857,0.000,0.037,3.158,0,0.633,0.000,3,0.857,False,
MDHab,San Roque Barangay Hall,27,0.799,0.983,0.000,0.000,2.089,0,0.799,0.000,5,0.943,False,
MDHab,Sauyo Elementary School,27,0.778,1.000,0.037,0.000,3.080,0,0.778,0.000,5,0.967,False,
MDHab,Sikatuna Brgy Hall,27,0.879,1.000,0.000,0.000,1.492,0,0.879,0.000,5,0.979,False,
MDHab,South Triangle,27,0.930,2.300,0.704,0.000,12.366,0,0.930,0.000,5,2.279,True,persistent_high_bias;persistent_neighbor_disagreement
MDHab,Talipapa,27,0.882,1.072,0.000,0.000,1.844,0,0.882,0.000,5,1.083,False,
MDHab,Tandang Sora,27,0.458,2.600,0.519,0.333,14.311,1,0.762,0.304,5,2.000,True,persistent_high_bias;possible_time_shift_+1h;persistent_neighbor_disagreement
MDHab,Toro Hills Elementary School,27,0.783,1.000,0.037,0.000,2.763,0,0.783,0.000,5,1.000,False,
MDHab,Ugong Norte,27,0.887,1.068,0.037,0.000,1.631,0,0.887,0.000,5,1.025,False,
MDHab,UP Village,27,0.881,1.067,0.000,0.000,2.408,0,0.881,0.000,5,1.056,False,
MDHab,White Plains Barangay Hall,27,0.648,0.973,0.037,0.000,2.922,0,0.648,0.000,5,1.000,False,
