Date & Time,Amoranto Sport Complex,Bagong Silangan Evacuation Center,Balingasa Elementary School,Balingasa High School,Batasan Hills,Brgy. Baesa,Brgy. Fairview,Brgy. Masambong,Brgy. NS Amoranto,Brgy. Valencia,Commonwealth Highschool,Dona Juana Elementary School,Doña Imelda,Emilio Jacinto,Flora A Ylagan High School,Holy Spirit,Ismael Mathay Senior High School,Jose Maria Panganiban Senior High School,Jose P Laurel Senior High School,Kaingin 1 Satellite Office,Kaligayahan,Kalusugan Brgy Hall,Kaunlaran Barangay Hall,Laging Handa Barangay Hall,Lagro High School,Libis,Lupang Pangako Elementary School,Maharlika Brgy Hall,Maligaya High School,Nagkaisang Nayon,New Era Brgy Hall,North Fairview Elementary School,Old Balara Elementary School,Payatas Elementary School,Phil-Am,Pinyahan Multipurpose Hall,Placido Delmundo Elementary School,Project 6 Barangay Hall,QCU,QCDRRMO,Quezon City University San Francisco Campus,Quirino High School,Ramon Magsaysay,Ramon Magsaysay Brgy Hall,Ramon Magsaysay Elementary School,San Agustin Brgy Hall,San Roque Barangay Hall,Sauyo Elementary School,Sikatuna Brgy Hall,South Triangle,Talipapa,Tandang Sora,Toro Hills Elementary School,UP Village,Ugong Norte
2025-07-20 03:00,1.000,4.000,,0.000,,0.000,0.500,,1.500,0.000,,2.500,,,,,1.000,0.000,0.000,1.500,,1.000,,,,,,1.000,,,2.000,0.500,3.500,,,1.000,,,,15.720,,1.000,,,,0.000,,0.500,,,,,0.500,,
2025-07-20 04:00,0.000,0.500,,0.500,,0.500,0.000,,1.000,0.000,,0.000,,,,,0.000,0.500,0.500,0.500,,1.000,,,,,,0.500,,,0.000,0.000,0.500,,,0.000,,,,3.960,,0.500,,,,1.000,,0.000,,,,,0.000,,
2025-07-20 05:00,1.500,0.500,,3.000,,1.000,1.500,,3.000,0.000,,1.000,,,,,2.000,0.500,0.000,1.500,,0.500,,,,,,2.500,,,1.500,2.500,1.000,,,1.000,,,,3.570,,0.000,,,,0.500,,1.000,,,,,1.000,,
2025-07-20 06:00,1.500,4.000,,1.000,,2.000,2.000,,0.500,0.000,,3.500,,,,,4.000,0.000,0.000,0.500,,1.000,,,,,,0.500,,,2.500,2.500,4.500,,,1.000,,,,1.770,,0.000,,,,0.000,,2.000,,,,,2.000,,
2025-07-20 07:00,1.000,2.000,,2.500,,2.500,5.500,,2.500,2.500,,1.500,,,,,7.000,2.500,3.000,1.500,,1.500,,,,,,2.000,,,2.000,3.500,1.500,,,0.500,,,,0.120,,2.000,,,,2.000,,4.500,,,,,3.000,,
2025-07-20 08:00,0.000,0.000,,0.000,,0.000,0.000,,0.000,0.000,,0.000,,,,,0.000,0.000,0.000,0.000,,0.000,,,,,,0.000,,,0.000,0.000,0.000,,,0.000,,,,5.990,,0.000,,,,0.000,,0.000,,,,,0.000,,
2025-07-20 09:00,0.000,0.000,,0.500,,0.000,0.000,,0.000,0.000,,0.000,,,,,0.000,0.000,0.000,0.000,,0.000,,,,,,0.000,,,0.000,0.000,0.000,,,0.000,,,,0.120,,0.000,,,,0.000,,0.000,,,,,0.000,,
2025-07-20 10:00,0.000,0.000,,0.000,,0.000,0.000,,0.000,0.000,,0.000,,,,,0.000,0.000,0.000,0.000,,0.000,,,,,,0.000,,,0.000,0.000,0.000,,,0.000,,,,0.000,,0.000,,,,0.500,,0.000,,,,,0.000,,
2025-07-20 11:00,0.000,0.000,,0.000,,0.000,0.000,,0.000,0.000,,0.000,,,,,0.000,0.000,0.000,0.000,,0.000,,,,,,0.000,,,0.000,0.000,0.000,,,0.000,,,,0.000,,0.000,,,,0.000,,0.000,,,,,0.000,,
2025-07-20 12:00,0.000,0.000,,0.000,,0.000,0.000,,0.000,0.000,,0.000,,,,,0.000,0.000,0.000,0.000,,0.500,,,,,,0.000,,,0.000,0.000,0.000,,,0.500,,,,0.810,,0.000,,,,2.500,,0.000,,,,,0.000,,
2025-07-20 13:00,0.500,0.000,,0.000,,0.500,1.500,,0.000,0.000,,0.000,,,,,0.000,7.500,0.000,0.000,,0.000,,,,,,0.000,,,0.000,4.500,0.000,,,0.000,,,,7.500,,0.000,,,,11.500,,0.500,,,,,0.000,,
2025-07-20 14:00,1.000,1.000,,0.000,,0.000,0.500,,1.500,3.500,,1.500,,,,,0.000,0.000,2.500,1.000,,1.000,,,,,,1.000,,,2.000,0.500,1.000,,,1.500,,,,0.420,,2.500,,,,0.500,,0.000,,,,,0.500,,
2025-07-20 15:00,0.000,1.000,,0.000,,0.500,0.000,,0.000,0.000,,0.000,,,,,0.000,0.000,0.000,0.000,,0.000,,,,,,0.000,,,0.000,0.000,0.000,,,0.000,,,,3.150,,0.000,,,,0.500,,0.000,,,,,0.000,,
2025-07-20 16:00,0.000,0.000,,0.000,,0.000,0.000,,0.000,0.000,,0.000,,,,,0.000,0.000,0.000,0.000,,0.000,,,,,,0.000,,,0.000,0.000,0.000,,,0.000,,,,0.490,,0.000,,,,0.000,,0.000,,,,,0.000,,
2025-07-20 17:00,1.000,0.000,,1.000,,0.000,0.000,,0.500,1.000,,0.000,,,,,2.000,0.000,0.000,0.000,,1.500,,,,,,1.000,,,0.000,0.000,0.000,,,0.500,,,,0.000,,0.000,,,,0.000,,0.500,,,,,1.500,,
2025-07-20 18:00,9.500,3.000,,4.500,,3.000,5.000,,8.500,10.500,,2.500,,,,,5.000,0.500,6.000,5.000,,11.500,,,,,,7.500,,,5.500,2.500,3.500,,,11.000,,,,2.170,,5.000,,,,0.000,,3.500,,,,,5.000,,
2025-07-20 19:00,2.000,2.000,,0.500,,0.500,1.500,,1.000,2.000,,2.000,,,,,0.000,4.500,5.500,3.000,,1.500,,,,,,0.500,,,2.500,3.000,3.000,,,2.500,,,,12.800,,5.500,,,,13.500,,0.500,,,,,0.500,,
2025-07-20 20:00,19.500,5.500,,6.500,,10.000,3.500,,10.500,20.500,,4.500,,,,,18.000,0.500,20.500,16.000,,19.000,,,,,,10.500,,,10.000,2.500,10.500,,,18.000,,,,11.600,,17.000,,,,1.000,,5.000,,,,,8.500,,
2025-07-20 21:00,0.000,0.500,,0.000,,1.500,10.500,,0.000,0.000,,0.000,,,,,1.000,2.000,0.000,0.000,,0.000,,,,,,0.000,,,0.000,13.500,0.000,,,0.000,,,,18.300,,0.000,,,,0.500,,8.000,,,,,0.000,,
2025-07-20 22:00,0.000,0.000,,0.000,,0.500,0.000,,0.000,0.000,,0.000,,,,,0.000,0.000,0.000,0.000,,0.000,,,,,,0.000,,,0.000,0.000,0.000,,,0.000,,,,7.840,,0.000,,,,0.000,,0.000,,,,,0.000,,
2025-07-20 23:00,0.000,0.000,,0.000,,0.000,0.000,,0.000,0.000,,0.000,,,,,0.000,0.000,0.000,0.000,,0.000,,,,,,0.000,,,0.000,0.000,0.000,,,0.000,,,,0.870,,0.000,,,,0.000,,0.000,,,,,0.000,,
2025-07-21 00:00,0.000,0.000,,0.000,,0.000,0.000,,0.000,0.000,,0.000,,,,,0.000,0.000,0.000,0.000,,0.000,,,,,,0.000,,,0.000,0.000,0.000,,,0.000,,,,0.500,,0.000,,,,0.000,,0.000,,,,,0.000,,
2025-07-21 01:00,0.000,0.000,,0.000,,0.000,0.000,,0.000,0.000,,0.000,,,,,0.000,0.500,0.000,0.000,,0.000,,,,,,0.000,,,0.000,0.000,0.500,,,0.000,,,,14.730,,0.000,,,,0.000,,0.500,,,,,0.500,,
2025-07-21 02:00,0.000,0.000,,0.000,,0.000,0.000,,0.000,0.000,,0.000,,,,,0.000,0.000,0.000,0.000,,0.000,,,,,,0.000,,,0.000,0.000,0.000,,,0.000,,,,0.600,,0.000,,,,0.000,,0.000,,,,,0.000,,
2025-07-21 03:00,1.500,0.000,,0.000,,0.500,0.000,,1.500,1.500,,0.000,,,,,1.000,1.000,0.500,0.000,,1.500,,,,,,1.500,,,0.000,0.000,0.000,,,0.500,,,,12.480,,0.000,,,,1.500,,0.000,,,,,0.000,,
2025-07-21 04:00,1.000,2.500,,2.000,,0.000,2.000,,1.500,0.000,,1.000,,,,,0.000,0.000,0.500,1.000,,0.000,,,,,,2.000,,,2.500,1.500,2.000,,,0.500,,,,0.900,,1.000,,,,0.000,,3.000,,,,,0.000,,
2025-07-21 05:00,0.000,0.000,,0.000,,0.000,0.000,,0.000,0.000,,0.000,,,,,0.000,0.000,0.000,0.000,,0.000,,,,,,0.000,,,0.000,0.000,0.000,,,0.000,,,,0.150,,0.000,,,,0.000,,0.000,,,,,0.000,,
2025-07-21 06:00,0.000,0.000,,0.000,,0.000,0.000,,0.000,0.500,,0.000,,,,,1.000,0.500,0.500,0.000,,0.500,,,,,,0.000,,,0.000,0.000,0.000,,,0.000,,,,0.810,,0.000,,,,0.500,,0.000,,,,,0.000,,
2025-07-21 07:00,0.500,0.000,,0.000,,0.000,0.500,,0.000,0.500,,0.000,,,,,0.000,0.000,0.500,0.500,,0.500,,,,,,0.500,,,0.000,0.000,0.000,,,0.000,,,,4.720,,0.000,,,,0.000,,0.000,,,,,0.000,,
2025-07-21 08:00,4.500,8.500,,6.500,,8.000,9.000,,5.500,6.000,,9.500,,,,,19.000,11.000,5.000,12.000,,3.000,,,,,,4.500,,,11.000,8.000,16.000,,,4.000,,,,40.640,,3.000,,,,10.000,,9.500,,,,,10.500,,
2025-07-21 09:00,11.000,20.500,,7.000,,6.000,5.500,,9.000,19.500,,9.500,,,,,10.000,3.000,11.000,6.000,,15.000,,,,,,8.500,,,5.500,4.000,4.500,,,9.000,,,,35.820,,7.500,,,,6.000,,4.500,,,,,6.000,,
2025-07-21 10:00,44.000,24.000,,37.500,,21.000,20.500,,46.000,44.000,,23.000,,,,,44.000,8.000,54.000,38.500,,41.000,,,,,,47.500,,,36.000,13.000,32.500,,,44.000,,,,32.490,,52.000,,,,2.000,,20.500,,,,,33.500,,
2025-07-21 11:00,1.000,30.500,,6.000,,27.500,56.000,,1.000,0.500,,31.000,,,,,59.000,59.000,0.500,2.000,,0.500,,,,,,1.500,,,10.000,45.000,13.500,,,0.500,,,,47.100,,0.500,,,,65.000,,48.000,,,,,15.000,,
2025-07-21 12:00,6.500,77.500,,8.000,,85.000,60.500,,5.500,2.500,,80.500,,,,,161.000,18.500,4.000,45.000,,4.000,,,,,,6.500,,,44.000,49.000,52.000,,,12.000,,,,32.900,,7.000,,,,8.000,,78.500,,,,,46.500,,
2025-07-21 13:00,0.500,7.000,,0.000,,1.500,3.500,,0.500,0.000,,3.500,,,,,3.000,1.000,0.000,6.500,,0.500,,,,,,0.000,,,1.000,4.500,2.000,,,0.500,,,,39.110,,0.500,,,,2.000,,2.500,,,,,0.500,,
2025-07-21 14:00,2.000,1.000,,7.000,,8.500,6.500,,6.000,0.500,,2.500,,,,,12.000,11.000,0.500,0.500,,1.500,,,,,,6.500,,,1.000,8.000,1.000,,,0.500,,,,12.350,,0.000,,,,13.000,,5.500,,,,,5.500,,
2025-07-21 15:00,1.500,3.000,,1.500,,1.500,2.000,,1.000,2.000,,3.000,,,,,3.000,0.500,1.500,2.000,,1.500,,,,,,1.500,,,3.000,1.500,3.000,,,1.500,,,,16.550,,4.000,,,,0.500,,1.500,,,,,2.500,,
2025-07-21 16:00,26.500,12.500,,12.500,,8.000,6.500,,22.000,40.500,,10.000,,,,,17.000,7.500,37.500,24.500,,29.000,,,,,,17.500,,,14.500,10.000,16.000,,,28.500,,,,15.280,,27.500,,,,1.000,,8.500,,,,,8.500,,
2025-07-21 17:00,19.000,8.500,,31.000,,35.500,19.500,,24.500,14.000,,11.500,,,,,62.000,28.000,15.000,12.500,,18.000,,,,,,26.500,,,16.500,21.000,11.500,,,18.000,,,,32.920,,15.500,,,,27.000,,24.000,,,,,29.500,,
2025-07-21 18:00,23.500,36.000,,29.500,,53.500,59.000,,23.000,17.500,,40.500,,,,,106.000,80.000,15.500,25.000,,20.000,,,,,,25.000,,,31.500,70.000,29.500,,,23.000,,,,62.190,,18.000,,,,65.000,,60.500,,,,,40.000,,
2025-07-21 19:00,9.000,10.000,,11.500,,11.500,14.500,,12.500,7.500,,12.000,,,,,25.000,16.500,4.500,6.000,,9.000,,,,,,13.500,,,9.000,17.000,9.500,,,7.500,,,,43.200,,4.500,,,,27.000,,14.500,,,,,10.000,,
2025-07-21 20:00,15.500,30.000,,18.000,,27.500,48.500,,13.500,9.500,,40.500,,,,,64.000,82.000,12.000,17.500,,14.000,,,,,,16.000,,,30.000,62.500,31.500,,,14.500,,,,26.370,,12.500,,,,66.000,,45.500,,,,,21.500,,
2025-07-21 21:00,13.000,46.500,,13.500,,16.500,25.000,,20.500,15.000,,31.000,,,,,33.000,28.000,7.500,11.000,,14.000,,,,,,19.000,,,16.500,26.000,25.000,,,11.000,,,,49.110,,8.500,,,,38.500,,18.500,,,,,16.000,,
2025-07-21 22:00,20.500,4.500,,24.500,,21.000,9.000,,27.000,16.500,,9.000,,,,,38.000,7.000,15.000,15.000,,18.500,,,,,,28.500,,,19.000,7.000,17.500,,,22.000,,,,29.440,,17.500,,,,5.000,,19.000,,,,,17.500,,
2025-07-21 23:00,24.500,9.000,,22.500,,7.500,3.000,,17.500,15.000,,9.000,,,,,19.000,2.500,20.000,24.000,,24.000,,,,,,18.000,,,16.000,3.000,13.000,,,22.500,,,,25.890,,22.000,,,,0.500,,3.500,,,,,18.000,,
